park_code,q25,q50,q75
abli,8328.5,18127.0,26260.5
acad,19998.25,104123.0,539692.25
adam,482.5,3405.0,19848.25
afbg,1994.0,3623.0,6516.0
agfo,186.5,665.0,2187.0
alag,19.25,41.5,110.75
alfl,221.0,444.0,835.0
alpo,9956.5,13590.0,18087.0
amch,472.0,693.5,789.5
amis,66686.5,88934.0,122991.0
ande,5623.0,8184.0,11020.5
ania,10.75,20.0,35.0
anjo,3287.25,4162.5,5033.75
anti,9130.0,17430.0,35149.0
apco,5033.0,9933.5,19865.25
apis,3235.5,7878.0,31701.5
appa,419075.5,503639.5,643995.25
arch,50091.5,139036.0,167421.0
arho,20134.0,41240.5,64811.5
arpo,1690.5,2467.0,3310.0
asis,62008.5,136972.5,281133.0
azru,2211.5,3984.0,5379.0
badl,13821.75,34012.5,148277.5
band,8769.75,16311.5,21457.5
bela,148.0,172.0,260.0
beol,745.25,1725.5,2885.75
bepa,424.25,567.0,845.5
bibe,21373.0,34652.0,47229.0
bica,5864.5,12592.0,28161.0
bicy,62225.5,99726.0,139674.25
biho,390.0,1088.0,6650.25
bisc,32556.0,45180.5,54618.25
biso,43237.0,59487.5,74614.75
bith,11716.75,16446.0,22778.75
blca,6543.0,17510.0,34507.0
blri,746992.25,1357317.5,1774010.25
blue,188.0,818.0,4857.0
boaf,5159.5,10071.5,39046.75
boha,2006.5,4187.0,6366.5
bost,93352.75,186497.5,287608.25
bowa,1275.0,1964.5,2571.25
brca,44388.75,153118.5,244502.0
brvb,1190.0,1702.0,2282.5
buff,45454.0,98040.0,164438.5
buis,2044.25,2892.0,3902.5
cabr,62131.25,69312.0,76393.0
cach,32286.0,44385.5,74465.75
cacl,209710.25,320023.0,414287.25
caco,157088.5,275329.0,493395.75
cagr,3026.0,5011.0,8502.0
caha,89083.5,182463.5,331335.75
cakr,612.75,1000.0,1585.0
calo,19470.0,38719.0,57358.5
cana,90426.0,125250.0,178834.0
cane,1105.0,1913.0,2962.0
cany,19569.5,60977.0,82040.5
care,25500.75,88904.0,130473.5
cari,1243.0,1739.0,2636.0
carl,4198.25,6734.5,9353.25
casa,43840.0,57745.5,70903.25
cato,17495.75,25151.5,38617.5
cave,21737.0,31173.0,44042.5
cavo,2132.0,4414.0,8139.0
cawo,71.5,137.5,228.5
cebr,15751.75,37703.5,99629.25
cech,667.0,972.0,1473.5
cham,1065.75,3463.0,8689.0
chat,204692.75,250443.0,302420.5
chch,68676.75,84267.5,91560.75
chcu,1332.0,3210.0,4758.5
chic,60847.5,99384.0,165513.25
chir,2591.25,4119.0,5554.5
chis,18091.0,23695.0,31732.5
choh,284789.75,415348.0,477467.0
chpi,2194.75,3145.5,4180.5
chri,8138.5,8753.0,10155.5
chsc,4928.0,7065.0,11136.0
chyo,249.0,434.0,947.0
ciro,1807.0,7925.5,13866.0
clba,372.5,927.0,1773.5
colm,26967.25,39580.5,47908.0
colo,170553.25,278620.5,329041.25
cong,9216.0,11977.0,17213.5
coro,9059.5,10844.5,13057.0
cowp,14394.25,17400.0,19814.0
crla,8026.0,21309.0,79495.0
crmo,4565.0,12823.5,36427.75
cuga,45118.25,69761.0,84168.0
cuis,3397.5,4734.0,6465.5
cure,20556.0,49039.5,125361.5
cuva,114816.25,215144.5,282794.5
daav,3132.25,6200.5,8697.0
ddem,38370.0,53427.5,67403.75
dena,1014.5,3669.5,61752.25
depo,7483.0,18933.0,33544.25
deso,14482.0,18499.0,25501.0
deto,4398.0,15592.0,71375.5
deva,76073.5,98093.0,122084.0
dewa,248763.0,339280.0,435269.0
dino,6101.0,17478.5,40940.25
drto,4606.5,5963.0,7173.5
edal,1010.0,1277.0,1533.5
edis,2362.0,3589.0,4825.75
efmo,2480.75,4668.5,8368.25
eise,1545.5,4469.0,6888.0
elma,9018.25,13729.0,16078.25
elmo,2736.25,4790.5,5778.75
elro,878.5,2005.5,6098.0
euon,203.25,307.0,1374.5
ever,54258.25,70466.5,96538.25
feha,5458.0,11411.0,20505.0
fiis,10046.75,21369.0,44880.0
fila,451.0,814.0,1178.0
flfo,1938.75,4050.0,9410.5
flni,8961.5,23291.0,41456.5
fobo,397.75,622.0,921.25
fobu,163.75,701.5,3056.25
foca,17480.75,24830.5,29282.5
foda,2570.0,3456.0,4592.0
fodo,13550.25,18305.0,22438.75
fofr,12882.0,18473.0,23580.0
fola,904.25,2534.0,7032.25
fols,1117.0,2230.0,3351.0
foma,35035.5,49558.0,63152.75
fomc,18712.0,36156.0,64790.0
fone,5278.0,16761.0,34454.0
fopo,77867.25,96493.5,141892.25
fopu,26636.0,32890.0,38820.0
fora,8800.5,17116.5,34805.5
fosc,1111.75,1931.5,2915.75
fosm,5578.75,8573.5,11543.5
fost,1798.25,4467.0,9635.75
fosu,36872.5,49126.0,85926.25
foth,27172.5,39647.5,66021.75
foun,431.0,861.5,1103.75
fous,124.0,394.0,1778.5
fova,46728.75,68344.5,93270.25
fowa,20637.0,32544.5,45565.75
frde,124147.0,221072.0,337096.5
frdo,2216.0,3815.0,5816.0
frhi,1068.0,1807.5,2566.25
frla,239.75,532.0,1067.25
frsp,61570.0,72549.5,84321.25
frst,9810.25,12747.0,19633.25
gaar,125.25,455.0,2462.25
gari,3303.5,7945.0,15062.0
gate,462979.25,626010.0,887843.5
gegr,4426.25,7303.5,10152.75
gero,4038.75,6677.0,11633.5
gett,29652.5,72537.0,110866.25
gewa,3575.0,8067.0,13564.25
gicl,1921.25,3227.0,4436.75
glac,17281.25,53630.5,449132.75
glba,173.0,366.5,102603.25
glca,105807.25,236796.0,398820.0
goga,1105323.0,1245896.0,1347892.25
gois,134.0,7942.0,76692.75
gosp,1737.25,3856.5,6626.0
grba,2283.25,7846.0,17747.75
grca,272867.0,416363.0,539946.0
gree,3866.5,8388.0,14384.25
grko,473.25,1211.0,3189.0
grpo,1489.25,2685.5,12497.0
grsa,6963.0,25183.0,54596.0
grsm,609930.25,946377.5,1304799.0
grte,49629.0,87739.0,516445.0
guco,18122.75,25623.5,34535.25
guis,323872.75,421434.5,548378.5
gumo,11489.0,14552.0,19399.5
gwca,1721.0,2979.0,4223.0
gwmp,454170.0,614332.5,783484.75
hafe,12011.0,28146.5,38660.5
hafo,633.0,1800.5,3153.25
hagr,2002.0,3880.0,5899.0
hale,69554.5,85208.5,97013.75
hamp,1179.5,2326.5,2872.0
hart,134.0,187.0,260.0
hatu,1094.5,1548.0,1895.5
havo,110971.0,128011.5,147370.25
heho,6502.75,9842.0,13127.25
hobe,3567.0,5228.5,6533.25
hocu,1720.0,4025.5,5780.75
hofr,5066.5,10111.5,15730.25
hofu,2231.0,4461.0,5728.0
home,3043.25,4822.5,7406.25
hosp,98291.75,132864.0,167508.5
hove,857.0,2772.0,3784.5
hstr,929.0,2107.5,3276.0
hutr,2732.0,4459.0,6883.0
iatr,1914.25,2211.5,3026.25
inde,163851.75,262938.5,392095.0
indu,82481.5,139386.5,254975.75
isro,47.5,292.0,3540.5
jaga,1048.0,2073.0,3870.0
jazz,3033.25,4006.5,5935.25
jeca,619.0,2793.0,18480.5
jeff,67658.75,120801.0,196144.0
jefm,114858.5,198823.0,302910.5
jela,20707.25,29657.5,39283.5
jica,2709.5,3841.5,5647.75
joda,3757.0,12195.0,21941.5
jodr,2507.5,11581.0,248128.5
jofi,251.0,971.0,2730.0
jofl,4725.0,10457.0,16318.0
jomu,2661.25,3202.0,3923.0
jotr,125908.0,181050.0,266085.5
kaho,12891.75,15887.0,23082.0
kala,2587.5,4863.0,5713.25
katm,100.0,166.5,7597.5
kaww,1492.5,3144.5,4287.5
kefj,37.0,3149.0,58675.0
kemo,114905.25,151710.0,209176.25
kewe,212.0,507.0,2570.0
kica,19769.25,37055.5,82304.0
kimo,15169.25,22149.0,24937.75
klgo,39.5,3820.0,191790.0
klse,2953.0,4408.0,8099.0
knri,83.75,397.0,1796.5
kova,733.0,1175.0,1600.0
kowa,173763.25,308933.5,394182.0
labe,4446.25,8499.0,14669.5
lach,1084.25,2244.5,5070.75
lacl,197.5,332.0,2457.75
lake,453054.25,585836.0,688914.5
lamr,45381.75,69062.0,110671.0
laro,48117.25,72909.5,157251.75
lavo,7782.0,14577.0,67836.0
lewi,10449.0,18763.0,27779.75
libi,2317.0,8157.0,35558.0
libo,1736.0,4943.5,12981.75
liho,5207.0,15613.0,25228.0
linc,394123.0,610432.0,765397.5
liri,18708.0,33747.0,61644.0
long,1509.0,3521.0,6551.0
lowe,10052.75,19640.5,33606.75
lyba,16921.5,22374.0,25321.5
lyjo,5960.0,8413.0,10898.75
mabi,1543.0,2899.5,5780.75
maca,19860.25,44853.0,65204.5
malu,31145.0,48919.0,63742.0
mamc,216.0,412.0,785.0
mana,35009.25,46892.0,54741.5
manz,4947.25,7898.0,10325.25
mapr,2306.0,4188.0,7700.0
mava,368.75,1022.5,2350.0
mawa,336.0,539.0,957.0
memy,215.25,2600.0,6191.25
meve,8976.0,34517.0,69172.5
miin,332.0,745.0,2156.0
mima,54660.5,96542.0,110653.5
mimi,878.5,3332.0,15457.5
misp,382.5,774.0,1037.5
miss,9352.75,18376.5,26431.5
mlkm,146194.5,252720.0,360496.0
mnrr,5931.5,10671.0,16448.25
moca,26059.0,31287.0,41626.0
mocr,4267.0,5254.0,6880.0
moja,42706.25,52837.0,66105.5
mono,3638.25,6627.5,10968.0
mora,23663.25,55994.0,187614.75
morr,14310.5,20686.0,28911.25
moru,29301.5,77742.0,337537.0
muwo,51053.5,70890.5,89659.5
nabr,2423.0,6764.0,11032.0
natc,5483.0,11858.0,18302.0
natr,478790.25,520307.0,562177.75
nava,2320.0,4718.0,6782.0
ncpc,41950.5,98046.0,163546.25
ncpe,64203.5,108140.5,130639.75
nebe,1628.0,7658.0,13774.0
nepe,16040.5,22598.0,30264.0
neri,41606.75,101985.0,166046.5
nico,116.0,247.0,416.0
niob,698.5,1543.5,8585.0
nisi,5346.25,7624.5,9606.5
noat,769.25,1100.0,1772.25
noca,44.0,672.0,3277.0
npsa,401.0,1090.0,2303.0
obri,14653.0,19720.5,23419.5
ocmu,8176.25,10244.5,12602.25
olym,98157.5,164536.0,388823.5
orca,972.0,4100.0,9205.75
orpi,10783.5,15267.0,21127.0
ozar,33021.0,69465.0,167580.75
paal,3324.0,6037.0,11264.0
paav,8892.5,12208.0,18386.5
pagr,8506.0,15608.0,28870.5
pais,31742.75,46014.5,60924.25
peco,2147.0,3811.0,4557.5
pefo,29573.0,49478.0,63008.25
peri,5650.75,9112.5,11868.75
perl,120687.75,137507.0,153894.0
pete,13216.0,17292.0,20125.5
petr,9725.0,16891.0,26101.75
pevi,1116.0,1838.0,14575.25
pinn,15042.5,20730.0,26231.0
pipe,925.0,4121.0,10425.0
piro,12439.0,31502.0,114766.5
pisc,10531.5,15191.5,23595.75
pisp,1592.5,2891.0,4319.25
poch,30.0,54.0,106.0
pore,166929.25,196790.0,231681.75
prpa,24761.5,50278.5,74303.0
prwi,17974.75,29189.0,35657.0
puhe,2581.0,9684.0,11161.0
puho,29121.0,34418.5,37857.25
pull,1615.0,2372.0,2997.5
rabr,130.75,600.0,8318.75
redw,20164.25,34216.0,54069.75
reer,1390.5,1803.0,2303.0
rich,11757.0,14075.0,17284.0
rigr,10.0,28.5,45.75
rira,6506.25,14654.5,21100.5
rocr,128342.75,166788.5,208222.25
rola,7208.0,46236.0,125872.0
romo,111156.5,165048.0,584749.5
rori,2774.75,3605.0,4671.75
rowi,1750.0,3463.0,6144.75
ruca,812.75,1464.5,2096.25
saan,74633.5,98376.5,119588.25
sacn,666.0,20235.0,89553.0
sacr,1162.0,1704.0,2586.0
safr,222825.75,281093.5,348943.25
saga,286.0,862.0,5213.25
sagu,39427.0,60381.5,90506.25
sahi,1987.25,4540.5,9000.5
sair,1096.0,1604.0,2395.5
sajh,16088.0,25448.5,35051.0
saju,70602.75,103522.0,127041.0
sama,7760.5,20719.0,47430.0
samo,51836.5,60951.0,71322.5
sand,190.0,482.5,670.25
sapa,745.0,1081.0,1447.5
sapu,2170.0,2850.0,3266.5
sara,2880.5,6654.5,9981.75
sari,355.25,584.0,999.0
scbl,5126.0,10384.5,19761.25
sequ,43705.75,73547.0,138453.25
shen,38347.75,130281.5,166953.5
shil,26241.25,32002.5,38485.5
sitk,4076.25,8155.5,26807.0
slbe,15057.5,43115.0,176869.0
spar,934.75,1306.0,1963.75
stea,3313.5,6538.5,10150.5
stge,875.5,1788.0,2218.75
stli,177999.25,288028.5,394861.0
ston,2701.0,13448.0,26532.0
stri,16474.75,24001.0,31805.75
sucr,5497.5,9693.0,14928.5
tapr,909.25,2107.5,3148.25
this,10322.25,13500.0,15500.0
thko,151.0,255.0,318.0
thrb,1196.5,1692.0,2053.5
thri,1132.0,1798.0,2552.0
thro,5735.75,33447.5,106380.25
thst,329.0,471.0,649.0
tica,231.25,3551.5,17001.25
till,154.0,304.0,385.0
timu,74797.0,87422.0,104181.0
tont,1607.75,2614.5,4120.0
tuai,1171.0,1870.0,2783.0
tuin,473.5,957.0,1886.25
tule,7.0,330.0,834.0
tuma,1323.5,2580.0,4366.0
tusk,2909.25,4780.0,5890.5
tuzi,6582.0,7732.0,9953.0
ulsg,1671.0,3054.0,4566.0
upde,4374.0,10349.5,35761.25
vafo,93984.5,151201.5,210226.75
vall,2954.25,4996.5,8938.0
vama,18410.5,31612.0,39312.5
vick,29529.75,38443.5,49955.0
viis,15411.0,29100.5,42029.0
vive,195248.75,383322.5,498576.25
voya,2404.0,8502.0,37392.5
waba,701.75,1000.0,1250.25
waca,7658.75,12902.0,16415.25
waco,5025.0,6630.0,9285.0
wamo,19195.75,25045.5,39722.0
wapa,22424.25,30043.5,34135.75
wefa,1169.0,2161.0,4217.0
whho,23887.5,41277.0,54710.0
whis,32553.5,52054.0,102844.0
whmi,2358.5,4217.5,5642.25
whsa,38118.5,46567.5,58074.75
wica,14129.25,31689.5,77931.0
wicl,416.25,634.0,926.25
wicr,12335.0,17620.0,25248.75
wiho,1230.0,1969.0,2715.0
wori,943.0,2155.0,3935.0
wotr,1940.25,6407.0,61382.25
wrbr,12183.75,33164.5,51789.0
wrst,67.5,520.0,7741.0
wupa,9176.0,17686.0,24528.0
wwii,208815.75,383797.5,476592.25
wwim,55435.0,75371.0,95668.0
yell,28875.5,78529.0,686665.5
yose,147441.25,292098.5,496559.5
yuch,26.0,85.0,219.5
zion,170711.0,345245.0,474050.5
